snap_date,TYPE,aum_ty,user_count,aum_per_user_trieu
2025-01-31,Merchant,111.493116219,8603,12.959794980704407
2025-01-31,Quỹ Nhóm,307.955686681,221457,1.3905890835737864
2025-01-31,TTT,3700.3250966252003,8562343,0.43216267984419687
2025-01-31,TTT+,5063.02844935102,662557,7.6416496231283038
2025-02-28,Merchant,37.001234989,7339,5.0417270730344734
2025-02-28,Quỹ Nhóm,432.535975015,288478,1.4993724825289971
2025-02-28,TTT,3919.2669814066003,8923760,0.4391945750901638
2025-02-28,TTT+,5038.0816869836181,456073,11.046656318141215
2025-03-31,Merchant,118.295230423,9248,12.791439275843425
2025-03-31,Quỹ Nhóm,533.307480648,337134,1.5818857802772786
2025-03-31,TTT,3723.1595879244,8964505,0.41532238399380667
2025-03-31,TTT+,5126.3056751450185,441180,11.619533240729449
2025-04-30,Merchant,115.843343231,10092,11.478730007035276
2025-04-30,Quỹ Nhóm,683.545547278,445546,1.534175028567196
2025-04-30,TTT,4630.1707535158012,9118229,0.50779276913486171
2025-04-30,TTT+,4460.1224860306193,459311,9.7104630327395149
2025-05-31,Merchant,115.632360244,10738,10.768519300055877
2025-05-31,Quỹ Nhóm,807.847567113,530020,1.5241831763197615
2025-05-31,TTT,4975.4276107467995,9251793,0.53777982394837409
2025-05-31,TTT+,4198.1465956476195,422063,9.9467297433028232
2025-06-30,Merchant,120.16405416260001,12391,9.69768817388427
2025-06-30,Quỹ Nhóm,905.252678592,586723,1.5428961854094694
2025-06-30,TTT,5006.1088165726,9331149,0.53649436061653288
2025-06-30,TTT+,4351.19746141322,444188,9.7958464916053991
2025-07-31,Merchant,119.2674860476,13022,9.1589222890185837
2025-07-31,Quỹ Nhóm,998.491059735,931971,1.0713756755682311
2025-07-31,TTT,4119.1270552302,9019377,0.45669751416646637
2025-07-31,TTT+,5236.11627958562,822849,6.3633987275741
2025-08-31,Merchant,132.393911382,13911,9.5172102208324354
2025-08-31,Quỹ Nhóm,1105.85861554,1449014,0.76318007661761733
2025-08-31,TTT,4886.517080581,9246697,0.52846082018054663
2025-08-31,TTT+,4593.75262282682,685869,6.697711403820291
2025-09-30,Merchant,131.4425614246,14976,8.7768804370058753
2025-09-30,Quỹ Nhóm,1236.592645323,1725505,0.71665549814286256
2025-09-30,TTT,4805.8834871014005,9316280,0.51585863532455023
2025-09-30,TTT+,4675.8430649154188,842623,5.5491519516028154
2025-10-31,Merchant,145.3445676526,17346,8.3791403005073217
2025-10-31,Quỹ Nhóm,1323.574905871,1799290,0.73560954925053779
2025-10-31,TTT,4574.2403587068,9547732,0.47909182606998185
2025-10-31,TTT+,4861.1187174190181,821628,5.9164472454918995
2025-11-30,Merchant,179.8807469676,23502,7.6538484796017361
2025-11-30,Quỹ Nhóm,1399.539795238,1834646,0.76283915002567249
2025-11-30,TTT,4890.82236632971,9686768,0.50489723366242589
2025-11-30,TTT+,4654.3960904227079,848067,5.4882410121166227
2025-12-31,Merchant,200.7846767336,30074,6.6763542173837873
2025-12-31,Quỹ Nhóm,1501.1300302,1901525,0.78943481163802742
2025-12-31,TTT,4601.3635531136006,9770376,0.47095050928578391
2025-12-31,TTT+,4993.9473204302194,858230,5.8188915796816936
2026-01-31,Merchant,214.8338103406,35721,6.0142160169256185
2026-01-31,Quỹ Nhóm,1619.073859997,2029266,0.79786181801547951
2026-01-31,TTT,4650.2349519923991,9580056,0.485407909097024
2026-01-31,TTT+,5088.6221615286186,1113630,4.5694011130524661
2026-02-28,Merchant,250.5208065256,42383,5.9108795159757452
2026-02-28,Quỹ Nhóm,1750.337834673,2071175,0.84509412998563627
2026-02-28,TTT,6111.4942546088,10357421,0.59005946119297459
2026-02-28,TTT+,4344.2469048712192,405272,10.719336408316437
2026-03-09,Merchant,245.0946536126,44714,5.4813851056179272
2026-03-09,Quỹ Nhóm,1716.382151504,2057826,0.83407545220247
2026-03-09,TTT,5385.04515856331,10306232,0.52250377815707127
2026-03-09,TTT+,4834.4016570147078,472183,10.238406840175754
