snap_date,TIER,aum_ty,user_count,aum_per_user_trieu
2025-01-31,,5063.0284493510189,662557,7.641649623128302
2025-02-28,,5038.081686983619,456073,11.046656318141217
2025-03-31,,5126.3056751450194,441180,11.619533240729451
2025-04-30,,4460.1224860306193,459311,9.7104630327395149
2025-05-31,,0.048114596,9,5.3460662222222224
2025-05-31,,4198.0984810516193,422054,9.9468278491653184
2025-06-30,,4351.1974614132187,444188,9.7958464916053991
2025-07-31,,5236.1162795856189,822849,6.363398727574098
2025-08-31,,4593.75262282682,685869,6.697711403820291
2025-09-30,,4675.8430649154188,842623,5.5491519516028154
2025-10-31,,4861.1187174190181,821628,5.9164472454918995
2025-11-30,,4654.3960904227088,848067,5.4882410121166236
2025-12-31,,4993.9473204302185,858230,5.8188915796816927
2026-01-31,0. Silver LX26,565.39198727339988,400711,1.4109719655147972
2026-01-31,1. Silver,280.52453531451,242130,1.1585699224156858
2026-01-31,2. Gold,503.6771686028,426466,1.1810488259387617
2026-01-31,3. Platinum,3739.0284703379089,44323,84.358650595354746
2026-02-28,1. Silver,386.61576611250996,345410,1.1192952320792968
2026-02-28,2. Gold,81.472369685599986,11370,7.1655558210729984
2026-02-28,3. Platinum,3876.1587690731094,48492,79.933984349441332
2026-03-09,1. Silver,602.027386546,417515,1.44192995831527
2026-03-09,2. Gold,75.150443847,7100,10.584569555915493
2026-03-09,3. Platinum,4157.2238266217091,47568,87.39538821522261
